ID	MajorRegion	SubRegion	DetailRegion	Anterior	Posterior	MajorColor1	SubColor1	MajorColor2	SubColor2
11E	HIP	CA	CA,DG	8100	8700	#d62728	#d62728	#db5e56	#db5e56
9H	HIP	CA	CA	6900	7500	#d62728	#d62728	#db5e56	#db5e56
11F	HIP	DG	DG	8100	8700	#d62728	#ff9896	#db5e56	#db9756
9J	HIP	DG	DG	6900	7500	#d62728	#ff9896	#db5e56	#db9756
2A	Isocortex	ACA,PL,ILA	ACA,PL,ILA	2700	3300	#1f77b4	#8c564b	#74db56	#dbd056
3A	Isocortex	ACA,PL,ILA	ACA,PL,ILA	3300	3900	#1f77b4	#8c564b	#74db56	#dbd056
4A	Isocortex	ACA,PL,ILA	ACA,PL,ILA	3900	4500	#1f77b4	#8c564b	#74db56	#dbd056
3D	Isocortex	AI	AI,CLA	3300	3900	#1f77b4	#98df8a	#74db56	#56dbaa
2C	Isocortex	MOp	MOp	2700	3300	#1f77b4	#1f77b4	#74db56	#74db56
3C	Isocortex	MOp	MOp	3300	3900	#1f77b4	#1f77b4	#74db56	#74db56
4B	Isocortex	MOp	MOp	3900	4500	#1f77b4	#1f77b4	#74db56	#74db56
5D	Isocortex	MOp	MOp	4500	5100	#1f77b4	#1f77b4	#74db56	#74db56
1A	Isocortex	MOs	MOs	2100	2700	#1f77b4	#aec7e8	#74db56	#56db71
2B	Isocortex	MOs	MOs	2700	3300	#1f77b4	#aec7e8	#74db56	#56db71
3B	Isocortex	MOs	MOs	3300	3900	#1f77b4	#aec7e8	#74db56	#56db71
1B	Isocortex	ORB	ORB,FRP	2100	2700	#1f77b4	#c49c94	#74db56	#addb56
4C	Isocortex	SSp	SSp	3900	4500	#1f77b4	#2ca02c	#74db56	#56d3db
5B	Isocortex	SSp	SSp	4500	5100	#1f77b4	#2ca02c	#74db56	#56d3db
6B	Isocortex	SSp	SSp	5100	5700	#1f77b4	#2ca02c	#74db56	#56d3db
7B	Isocortex	SSp	SSp	5700	6300	#1f77b4	#2ca02c	#74db56	#56d3db
5C	Isocortex	SSs	SSs	4500	5100	#1f77b4	#2ca02c	#74db56	#56d3db
1C	OLF	AON	MOB,AOB,AON,TTv,aco,lot	2100	2700	#ff7f0e	#ffbb78	#569adb	#569adb
2E	OLF	AON	TT,AON,DP	2700	3300	#ff7f0e	#ffbb78	#569adb	#569adb
2D	OLF	PIR	PIR	2700	3300	#ff7f0e	#ff7f0e	#569adb	#5661db
3E	OLF	PIR	PIR	3300	3900	#ff7f0e	#ff7f0e	#569adb	#5661db
4F	OLF	PIR	PIR	3900	4500	#ff7f0e	#ff7f0e	#569adb	#5661db
5G	OLF	PIR	PIR	4500	5100	#ff7f0e	#ff7f0e	#569adb	#5661db
4H	PAL	PAL	MS,NDB,SI	3900	4500	#c5b0d5	#c5b0d5	#bd56db	#bd56db
5H	PAL	PAL	BST,NDB,SI,MA,aco	4500	5100	#c5b0d5	#c5b0d5	#bd56db	#bd56db
3F	STR	ACB	ACB,aco	3300	3900	#9467bd	#9467bd	#8456db	#8456db
4E	STR	ACB	ACB,aco	3900	4500	#9467bd	#9467bd	#8456db	#8456db
5F	STR	ACB	ACB	4500	5100	#9467bd	#9467bd	#8456db	#8456db
4D	STR	CP	CP	3900	4500	#9467bd	#e377c2	#8456db	#db56c0
4G	STR	LSX	LSX	3900	4500	#9467bd	#f7b6d2	#8456db	#db5687